Date,Price,Open,High,Low,Vol.,Change %
05/05/08,"18,992.35","18,509.07","18,992.35","18,497.16",,2.96%
02/05/08,"18,446.99","18,111.48","18,643.11","18,111.48",,2.34%
30/04/08,"18,024.52","17,404.53","18,031.12","17,330.09",,4.15%
29/04/08,"17,306.61","17,758.21","17,758.21","17,261.02",,-2.72%
28/04/08,"17,790.82","17,766.61","17,912.83","17,760.14",,0.30%
25/04/08,"17,737.49","17,636.09","17,738.58","17,506.50",,0.98%
24/04/08,"17,565.50","17,496.22","17,621.32","17,445.61",,0.60%
23/04/08,"17,461.47","17,560.37","17,600.42","17,371.74",,-0.28%
22/04/08,"17,511.29","17,571.68","17,579.52","17,427.20",,-0.08%
18/04/08,"17,525.56","17,484.91","17,630.14","17,474.55",,0.72%
17/04/08,"17,399.52","17,167.37","17,463.39","17,158.64",,0.96%
16/04/08,"17,233.65","17,210.10","17,263.33","17,080.48",,1.11%
15/04/08,"17,043.93","17,131.67","17,241.21","17,019.29",,-0.29%
14/04/08,"17,094.10","17,227.48","17,251.47","17,049.91",,-1.36%
11/04/08,"17,329.50","17,390.54","17,429.50","17,242.04",,-0.96%
10/04/08,"17,498.21","17,459.32","17,550.60","17,359.67",,0.51%
09/04/08,"17,409.86","17,569.96","17,587.58","17,355.19",,-1.44%
08/04/08,"17,664.15","17,511.87","17,754.45","17,472.95",,0.47%
07/04/08,"17,581.55","17,904.70","18,039.16","17,581.55",,-1.20%
04/04/08,"17,795.22","17,861.59","17,887.52","17,754.30",,0.07%
03/04/08,"17,783.27","17,565.71","17,862.10","17,503.18",,1.07%
02/04/08,"17,595.35","17,327.67","17,650.98","17,327.67",,1.70%
01/04/08,"17,301.09","16,935.97","17,356.61","16,915.80",,2.62%
31/03/08,"16,859.00","16,436.30","16,872.80","16,368.55",,2.13%
28/03/08,"16,507.74","16,745.64","16,757.45","16,487.65",,-1.01%
27/03/08,"16,676.06","16,744.19","16,807.97","16,585.94",,0.31%
26/03/08,"16,624.97","16,734.40","16,766.69","16,509.01",,-0.42%
25/03/08,"16,695.05","16,989.68","17,084.08","16,635.06",,-0.94%
24/03/08,"16,852.97","16,863.95","17,078.94","16,826.38",,-0.09%
20/03/08,"16,867.74","16,672.40","16,914.26","16,659.88",,0.86%
19/03/08,"16,724.71","16,996.73","17,237.64","16,661.23",,-1.72%
18/03/08,"17,017.80","17,083.13","17,148.81","16,880.68",,1.51%
17/03/08,"16,764.65","16,854.67","16,854.67","16,506.72",,-1.78%
14/03/08,"17,068.63","17,169.35","17,222.22","16,692.25",,-0.12%
13/03/08,"17,088.47","17,041.70","17,138.38","16,662.00",,-0.36%
12/03/08,"17,149.66","17,202.67","17,238.52","17,072.05",,-0.12%
11/03/08,"17,171.10","17,191.58","17,191.69","16,787.60",,1.81%
10/03/08,"16,866.22","17,138.82","17,183.64","16,849.34",,-2.06%
07/03/08,"17,220.38","17,416.56","17,416.83","17,105.16",,-1.67%
06/03/08,"17,512.18","17,902.03","17,902.03","17,512.18",,-2.06%
05/03/08,"17,879.79","17,796.04","17,968.30","17,710.94",,0.89%
04/03/08,"17,721.61","17,893.50","17,905.28","17,505.50",,-1.08%
03/03/08,"17,914.80","17,510.64","17,919.64","17,490.32",,2.56%
29/02/08,"17,467.50","17,526.94","17,623.26","17,356.68",,-0.93%
