"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 03, 2007","6,240.64","6,240.64","6,240.64","6,240.64","","-2.43%"
"Aug 02, 2007","6,396.31","6,396.31","6,396.31","6,396.31","","0.83%"
"Aug 01, 2007","6,343.56","6,343.56","6,343.56","6,343.56","","-0.48%"
"Jul 31, 2007","6,373.97","6,373.97","6,373.97","6,373.97","","-0.25%"
"Jul 30, 2007","6,389.92","6,389.92","6,389.92","6,389.92","","2.03%"
"Jul 27, 2007","6,262.82","6,262.82","6,262.82","6,262.82","","-1.47%"
"Jul 26, 2007","6,356.42","6,356.42","6,356.42","6,356.42","","-3.24%"
"Jul 25, 2007","6,569.55","6,569.55","6,569.55","6,569.55","","-0.46%"
"Jul 24, 2007","6,600.02","6,600.02","6,600.02","6,600.02","","-3.32%"
"Jul 23, 2007","6,826.48","6,826.48","6,826.48","6,826.48","","0.89%"
"Jul 20, 2007","6,766.01","6,766.01","6,766.01","6,766.01","","-1.05%"
"Jul 19, 2007","6,837.51","6,837.51","6,837.51","6,837.51","","1.17%"
"Jul 18, 2007","6,758.49","6,758.49","6,758.49","6,758.49","","-0.06%"
"Jul 17, 2007","6,762.27","6,762.27","6,762.27","6,762.27","","0.46%"
"Jul 16, 2007","6,731.22","6,731.22","6,731.22","6,731.22","","-0.08%"
"Jul 13, 2007","6,736.42","6,736.42","6,736.42","6,736.42","","-0.21%"
"Jul 12, 2007","6,750.26","6,750.26","6,750.26","6,750.26","","2.48%"
"Jul 11, 2007","6,587.02","6,587.02","6,587.02","6,587.02","","1.05%"
"Jul 10, 2007","6,518.87","6,518.87","6,518.87","6,518.87","","-0.48%"
"Jul 06, 2007","6,550.37","6,550.37","6,550.37","6,550.37","","0.69%"
"Jul 05, 2007","6,505.27","6,505.27","6,505.27","6,505.27","","0.31%"
"Jul 04, 2007","6,485.11","6,485.11","6,485.11","6,485.11","","0.10%"
"Jul 03, 2007","6,478.46","6,478.46","6,478.46","6,478.46","","0.49%"
"Jul 02, 2007","6,446.66","6,446.66","6,446.66","6,446.66","","1.64%"
"Jun 29, 2007","6,342.64","6,342.64","6,342.64","6,342.64","","0.65%"
"Jun 28, 2007","6,301.53","6,301.53","6,301.53","6,301.53","","0.05%"
"Jun 27, 2007","6,298.34","6,298.34","6,298.34","6,298.34","","0.34%"
"Jun 26, 2007","6,277.18","6,277.18","6,277.18","6,277.18","","-0.57%"
"Jun 25, 2007","6,312.98","6,312.98","6,312.98","6,312.98","","-0.65%"
"Jun 22, 2007","6,354.26","6,354.26","6,354.26","6,354.26","","-0.48%"
"Jun 21, 2007","6,385.22","6,385.22","6,385.22","6,385.22","","0.89%"
"Jun 20, 2007","6,329.18","6,329.18","6,329.18","6,329.18","","-0.52%"
"Jun 19, 2007","6,362.37","6,362.37","6,362.37","6,362.37","","-0.87%"
"Jun 18, 2007","6,418.18","6,418.18","6,418.18","6,418.18","","0.45%"
"Jun 15, 2007","6,389.70","6,389.70","6,389.70","6,389.70","","1.66%"
"Jun 14, 2007","6,285.25","6,285.25","6,285.25","6,285.25","","1.30%"
"Jun 13, 2007","6,204.33","6,204.33","6,204.33","6,204.33","","1.90%"
"Jun 12, 2007","6,088.79","6,088.79","6,088.79","6,088.79","","-2.04%"
